,STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT01,WT03,WT04,WT05,WT06,WT11,Timestamp,Scale Weather
116,USC00194105,"LAWRENCE, MA US",1990-05-28,,,,0.0,0.0,0.0,77.0,50.0,52.0,,,,,,,,643867200.0,0.7549019607843137
117,USC00194105,"LAWRENCE, MA US",1990-05-29,,,,0.0,0.0,0.0,81.0,52.0,54.0,,,,,,,,643953600.0,0.7941176470588235
118,USC00194105,"LAWRENCE, MA US",1990-05-30,,,,1.31,0.0,0.0,63.0,52.0,54.0,,,,,,,,644040000.0,0.6176470588235294
119,USC00194105,"LAWRENCE, MA US",1990-05-31,,,,0.19,0.0,0.0,65.0,42.0,46.0,,,,,,,,644126400.0,0.6372549019607843
120,USC00194105,"LAWRENCE, MA US",1990-06-01,,,,0.0,0.0,0.0,74.0,42.0,57.0,,,,,,,,644212800.0,0.7254901960784313
121,USC00194105,"LAWRENCE, MA US",1990-06-02,,,,0.0,0.0,0.0,84.0,57.0,58.0,,,,,,,,644299200.0,0.8235294117647058
122,USC00194105,"LAWRENCE, MA US",1990-06-03,,,,0.0,0.0,0.0,84.0,58.0,66.0,,,,,,,,644385600.0,0.8235294117647058
123,USC00194105,"LAWRENCE, MA US",1990-06-04,,,,0.0,0.0,0.0,81.0,62.0,64.0,,,,,,,,644472000.0,0.7941176470588235
124,USC00194105,"LAWRENCE, MA US",1990-06-05,,,,0.0,0.0,0.0,78.0,48.0,50.0,,,,,,,,644558400.0,0.7647058823529411
125,USC00194105,"LAWRENCE, MA US",1990-06-06,,,,0.0,0.0,0.0,70.0,45.0,48.0,,,,,,,,644644800.0,0.6862745098039216
126,USC00194105,"LAWRENCE, MA US",1990-06-07,,,,0.0,0.0,0.0,72.0,48.0,59.0,,,,,,,,644731200.0,0.7058823529411765
127,USC00194105,"LAWRENCE, MA US",1990-06-08,,,,0.0,0.0,0.0,83.0,54.0,56.0,,,,,,,,644817600.0,0.8137254901960784
128,USC00194105,"LAWRENCE, MA US",1990-06-09,,,,0.02,0.0,0.0,78.0,54.0,60.0,,,,,,,,644904000.0,0.7647058823529411
129,USC00194105,"LAWRENCE, MA US",1990-06-10,,,,0.05,0.0,0.0,75.0,54.0,56.0,,,,,,,,644990400.0,0.7352941176470589
130,USC00194105,"LAWRENCE, MA US",1990-06-11,,,,0.06,0.0,0.0,64.0,53.0,56.0,,,,,,,,645076800.0,0.6274509803921569
131,USC00194105,"LAWRENCE, MA US",1990-06-12,,,,0.27,0.0,0.0,59.0,46.0,52.0,,,,,,,,645163200.0,0.5784313725490197
132,USC00194105,"LAWRENCE, MA US",1990-06-13,,,,0.0,0.0,0.0,75.0,48.0,58.0,,,,,,,,645249600.0,0.7352941176470589
133,USC00194105,"LAWRENCE, MA US",1990-06-14,,,,0.0,0.0,0.0,78.0,52.0,59.0,,,,,,,,645336000.0,0.7647058823529411
134,USC00194105,"LAWRENCE, MA US",1990-06-15,,,,0.0,0.0,0.0,79.0,52.0,60.0,,,,,,,,645422400.0,0.7745098039215687
135,USC00194105,"LAWRENCE, MA US",1990-06-16,,,,0.0,0.0,0.0,82.0,53.0,62.0,,,,,,,,645508800.0,0.803921568627451
136,USC00194105,"LAWRENCE, MA US",1990-06-17,,,,0.0,0.0,0.0,82.0,53.0,61.0,,,,,,,,645595200.0,0.803921568627451
137,USC00194105,"LAWRENCE, MA US",1990-06-18,,,,0.0,0.0,0.0,84.0,58.0,65.0,,,,,,,,645681600.0,0.8235294117647058
138,USC00194105,"LAWRENCE, MA US",1990-06-19,,,,0.0,0.0,0.0,78.0,61.0,68.0,,,,,,,,645768000.0,0.7647058823529411
139,USC00194105,"LAWRENCE, MA US",1990-06-20,,,,0.14,0.0,0.0,75.0,55.0,62.0,,,,,,,,645854400.0,0.7352941176470589
140,USC00194105,"LAWRENCE, MA US",1990-06-21,,,,0.0,0.0,0.0,74.0,56.0,62.0,,,,,,,,645940800.0,0.7254901960784313
141,USC00194105,"LAWRENCE, MA US",1990-06-22,,,,0.0,0.0,0.0,78.0,55.0,62.0,,,,,,,,646027200.0,0.7647058823529411
142,USC00194105,"LAWRENCE, MA US",1990-06-23,,,,0.0,0.0,0.0,80.0,56.0,64.0,,,,,,,,646113600.0,0.7843137254901961
143,USC00194105,"LAWRENCE, MA US",1990-06-24,,,,0.3,0.0,0.0,77.0,55.0,62.0,,,,,,,,646200000.0,0.7549019607843137
144,USC00194105,"LAWRENCE, MA US",1990-06-25,,,,0.0,0.0,0.0,80.0,56.0,64.0,,,,,,,,646286400.0,0.7843137254901961
145,USC00194105,"LAWRENCE, MA US",1990-06-26,,,,0.0,0.0,0.0,80.0,56.0,65.0,,,,,,,,646372800.0,0.7843137254901961
146,USC00194105,"LAWRENCE, MA US",1990-06-27,,,,0.0,0.0,0.0,86.0,61.0,64.0,,,,,,,,646459200.0,0.8431372549019608
147,USC00194105,"LAWRENCE, MA US",1990-06-28,,,,0.05,0.0,0.0,87.0,61.0,65.0,,,,,,,,646545600.0,0.8529411764705882
148,USC00194105,"LAWRENCE, MA US",1990-06-29,,,,0.0,0.0,0.0,80.0,55.0,58.0,,,,,,,,646632000.0,0.7843137254901961
149,USC00194105,"LAWRENCE, MA US",1990-06-30,,,,0.15,0.0,0.0,71.0,54.0,58.0,,,,,,,,646718400.0,0.696078431372549
150,USC00194105,"LAWRENCE, MA US",1990-07-01,,,,0.02,0.0,0.0,67.0,54.0,62.0,,,,,,,,646804800.0,0.6568627450980392
151,USC00194105,"LAWRENCE, MA US",1990-07-02,,,,0.0,0.0,0.0,72.0,55.0,60.0,,,,,,,,646891200.0,0.7058823529411765
152,USC00194105,"LAWRENCE, MA US",1990-07-03,,,,0.0,0.0,0.0,77.0,56.0,62.0,,,,,,,,646977600.0,0.7549019607843137
153,USC00194105,"LAWRENCE, MA US",1990-07-04,,,,0.0,0.0,0.0,84.0,62.0,72.0,,,,,,,,647064000.0,0.8235294117647058
154,USC00194105,"LAWRENCE, MA US",1990-07-05,,,,0.01,0.0,0.0,94.0,60.0,74.0,,,,,,,,647150400.0,0.9215686274509803
155,USC00194105,"LAWRENCE, MA US",1990-07-06,,,,0.0,0.0,0.0,85.0,55.0,58.0,,,,,,,,647236800.0,0.8333333333333334
156,USC00194105,"LAWRENCE, MA US",1990-07-07,,,,0.0,0.0,0.0,76.0,50.0,57.0,,,,,,,,647323200.0,0.7450980392156863
157,USC00194105,"LAWRENCE, MA US",1990-07-08,,,,0.0,0.0,0.0,77.0,50.0,58.0,,,,,,,,647409600.0,0.7549019607843137
158,USC00194105,"LAWRENCE, MA US",1990-07-09,,,,0.0,0.0,0.0,81.0,51.0,67.0,,,,,,,,647496000.0,0.7941176470588235
159,USC00194105,"LAWRENCE, MA US",1990-07-10,,,,0.02,0.0,0.0,87.0,62.0,67.0,,,,,,,,647582400.0,0.8529411764705882
160,USC00194105,"LAWRENCE, MA US",1990-07-11,,,,0.0,0.0,0.0,86.0,60.0,63.0,,,,,,,,647668800.0,0.8431372549019608
161,USC00194105,"LAWRENCE, MA US",1990-07-12,,,,0.0,0.0,0.0,76.0,58.0,61.0,,,,,,,,647755200.0,0.7450980392156863
162,USC00194105,"LAWRENCE, MA US",1990-07-13,,,,0.03,0.0,0.0,68.0,59.0,61.0,,,,,,,,647841600.0,0.6666666666666666
163,USC00194105,"LAWRENCE, MA US",1990-07-14,,,,0.0,0.0,0.0,78.0,55.0,58.0,,,,,,,,647928000.0,0.7647058823529411
164,USC00194105,"LAWRENCE, MA US",1990-07-15,,,,0.0,0.0,0.0,82.0,58.0,69.0,,,,,,,,648014400.0,0.803921568627451
165,USC00194105,"LAWRENCE, MA US",1990-07-16,,,,0.0,0.0,0.0,89.0,69.0,74.0,,,,,,,,648100800.0,0.8725490196078431
166,USC00194105,"LAWRENCE, MA US",1990-07-17,,,,0.0,0.0,0.0,90.0,68.0,71.0,,,,,,,,648187200.0,0.8823529411764706
167,USC00194105,"LAWRENCE, MA US",1990-07-18,,,,0.0,0.0,0.0,89.0,68.0,71.0,,,,,,,,648273600.0,0.8725490196078431
168,USC00194105,"LAWRENCE, MA US",1990-07-19,,,,0.0,0.0,0.0,91.0,70.0,73.0,,,,,,,,648360000.0,0.8921568627450981
169,USC00194105,"LAWRENCE, MA US",1990-07-20,,,,0.0,0.0,0.0,91.0,66.0,69.0,,,,,,,,648446400.0,0.8921568627450981
170,USC00194105,"LAWRENCE, MA US",1990-07-21,,,,0.04,0.0,0.0,91.0,67.0,70.0,,,,,,,,648532800.0,0.8921568627450981
171,USC00194105,"LAWRENCE, MA US",1990-07-22,,,,0.0,0.0,0.0,90.0,66.0,69.0,,,,,,,,648619200.0,0.8823529411764706
172,USC00194105,"LAWRENCE, MA US",1990-07-23,,,,0.42,0.0,0.0,86.0,68.0,71.0,,,,,,,,648705600.0,0.8431372549019608
173,USC00194105,"LAWRENCE, MA US",1990-07-24,,,,0.18,0.0,0.0,88.0,68.0,71.0,,,,,,,,648792000.0,0.8627450980392157
174,USC00194105,"LAWRENCE, MA US",1990-07-25,,,,0.8,0.0,0.0,74.0,65.0,68.0,,,,,,,,648878400.0,0.7254901960784313
175,USC00194105,"LAWRENCE, MA US",1990-07-26,,,,0.28,0.0,0.0,76.0,64.0,68.0,,,,,,,,648964800.0,0.7450980392156863
176,USC00194105,"LAWRENCE, MA US",1990-07-27,,,,0.0,0.0,0.0,84.0,63.0,67.0,,,,,,,,649051200.0,0.8235294117647058
177,USC00194105,"LAWRENCE, MA US",1990-07-28,,,,0.0,0.0,0.0,80.0,63.0,78.0,,,,,,,,649137600.0,0.7843137254901961
178,USC00194105,"LAWRENCE, MA US",1990-07-29,,,,0.0,0.0,0.0,80.0,59.0,66.0,,,,,,,,649224000.0,0.7843137254901961
179,USC00194105,"LAWRENCE, MA US",1990-07-30,,,,0.0,0.0,0.0,83.0,60.0,63.0,,,,,,,,649310400.0,0.8137254901960784
180,USC00194105,"LAWRENCE, MA US",1990-07-31,,,,0.0,0.0,0.0,81.0,61.0,63.0,,,,,,,,649396800.0,0.7941176470588235
